,age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,days_since_last_contact,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
2213,44.0,technician,married,professional.course,no,no,no,cellular,jul,wed,96.0,1,999,0,nonexistent,no,Oliveira do Hospital
2214,42.0,unknown,married,high.school,no,no,no,telephone,may,wed,191.0,2,999,0,nonexistent,no,Esmoriz
2215,31.0,technician,single,university.degree,no,yes,no,cellular,aug,tue,128.0,5,999,0,nonexistent,no,Águeda
2216,58.0,self-employed,married,university.degree,no,no,no,cellular,nov,mon,224.0,2,999,1,failure,no,Loulé
2217,45.0,services,married,high.school,no,no,no,cellular,apr,tue,232.0,1,999,0,nonexistent,no,Vila Real
2218,36.0,unknown,married,university.degree,no,yes,no,cellular,may,fri,285.0,1,999,1,failure,no,Gouveia
2219,39.0,management,married,university.degree,no,yes,no,cellular,apr,fri,232.0,1,999,0,nonexistent,no,Covilhã
2220,44.0,blue-collar,unknown,basic.4y,no,yes,no,cellular,aug,tue,232.0,3,999,0,nonexistent,no,Moura
2221,59.0,retired,divorced,basic.9y,unknown,yes,no,telephone,jun,fri,141.0,4,999,0,nonexistent,no,Torres Vedras
2222,33.0,technician,single,professional.course,no,no,no,cellular,aug,thu,232.0,1,999,0,nonexistent,no,Vendas Novas
2223,41.0,services,single,high.school,no,no,no,cellular,may,fri,1642.0,2,999,0,nonexistent,no,Ribeira Grande
2224,56.0,retired,married,high.school,unknown,yes,no,telephone,jun,wed,367.0,1,999,0,nonexistent,no,Lagoa
2225,37.0,entrepreneur,married,basic.9y,no,yes,no,telephone,may,fri,63.0,1,999,0,nonexistent,no,Marco de Canaveses
2226,24.0,housemaid,married,basic.9y,no,no,no,cellular,may,wed,45.0,4,999,0,nonexistent,no,Almada
2227,46.0,services,single,high.school,unknown,yes,no,cellular,may,wed,232.0,1,999,0,nonexistent,no,Santa Maria da Feira
2228,49.0,technician,married,basic.9y,no,yes,no,cellular,jul,thu,183.0,1,999,0,nonexistent,no,Tondela
2229,29.0,technician,divorced,high.school,no,yes,no,cellular,jul,wed,128.0,2,999,0,nonexistent,no,Póvoa de Santa Iria
2230,35.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,fri,265.0,1,999,0,nonexistent,no,Gouveia
2231,37.0,student,married,professional.course,unknown,no,no,cellular,aug,thu,266.0,1,999,0,nonexistent,no,Ponte de Sor
2232,37.0,self-employed,married,unknown,no,no,no,telephone,nov,fri,39.0,9,999,0,nonexistent,no,Ermesinde
2233,37.0,services,single,high.school,no,no,no,telephone,may,wed,139.0,1,999,0,nonexistent,no,Santo Tirso
2234,30.0,self-employed,single,university.degree,no,yes,no,cellular,nov,thu,151.0,1,999,0,nonexistent,no,Fátima
2235,36.0,blue-collar,married,high.school,unknown,no,no,telephone,may,wed,713.0,4,999,0,nonexistent,no,Câmara de Lobos
2236,29.0,admin.,married,university.degree,no,yes,no,cellular,dec,mon,232.0,2,999,1,failure,no,Portalegre
2237,53.0,blue-collar,unknown,basic.6y,unknown,unknown,unknown,cellular,aug,thu,232.0,3,999,0,nonexistent,no,Alfena
2238,44.0,admin.,single,basic.9y,no,no,no,cellular,jul,mon,232.0,2,999,0,nonexistent,no,Gondomar
2239,46.0,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,165.0,2,999,0,nonexistent,no,Agualva-Cacém
2240,24.0,unknown,single,professional.course,no,no,no,telephone,may,tue,421.0,2,999,0,nonexistent,no,Santa Maria da Feira
2241,60.0,management,married,university.degree,unknown,yes,no,cellular,jul,thu,212.0,1,999,0,nonexistent,no,Gafanha da Nazaré
2242,41.0,admin.,married,unknown,unknown,yes,no,cellular,nov,tue,88.0,1,999,0,nonexistent,no,Évora
2243,36.0,technician,single,professional.course,no,no,no,cellular,aug,mon,232.0,4,999,0,nonexistent,no,Rio Tinto
2244,38.0,retired,single,basic.9y,no,no,no,cellular,jul,thu,121.0,1,999,0,nonexistent,no,Tondela
2245,43.0,self-employed,married,high.school,no,no,no,cellular,nov,mon,137.0,3,999,1,failure,no,Vila Real de Santo António
2246,33.0,admin.,married,university.degree,unknown,yes,no,cellular,jul,tue,83.0,2,999,0,nonexistent,no,Ílhavo
2247,36.0,blue-collar,divorced,high.school,no,yes,no,telephone,jun,wed,133.0,1,999,0,nonexistent,no,Covilhã
2248,33.0,blue-collar,single,basic.6y,unknown,no,no,cellular,may,wed,232.0,1,999,0,nonexistent,no,Agualva-Cacém
2249,33.0,blue-collar,single,high.school,no,yes,no,cellular,may,thu,17.0,5,999,0,nonexistent,no,Gouveia
2250,35.0,technician,unknown,professional.course,no,no,no,telephone,mar,thu,282.0,2,6,1,success,no,Vila Nova de Santo André
2251,26.0,unknown,single,university.degree,no,yes,no,cellular,jul,fri,174.0,2,999,0,nonexistent,no,Valpaços
2252,60.0,retired,married,basic.6y,no,no,no,cellular,jul,tue,268.0,1,999,0,nonexistent,no,Figueira da Foz
2253,47.0,management,married,university.degree,no,no,no,telephone,may,mon,24.0,12,999,0,nonexistent,no,Tomar
2254,38.0,admin.,divorced,high.school,no,yes,no,cellular,jun,wed,1361.0,1,999,1,failure,no,Freamunde
2255,54.0,technician,married,high.school,unknown,no,no,cellular,jul,thu,232.0,1,999,0,nonexistent,no,Esposende
2256,56.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,wed,508.0,1,999,0,nonexistent,no,Rio Tinto
2257,43.0,unknown,single,high.school,no,no,no,telephone,jun,thu,73.0,1,999,0,nonexistent,no,Elvas
2258,58.0,unknown,married,basic.9y,unknown,yes,no,cellular,nov,thu,308.0,1,6,1,success,no,Rio Tinto
2259,38.0,admin.,unknown,high.school,no,yes,no,telephone,may,thu,232.0,2,999,0,nonexistent,no,Agualva-Cacém
2260,33.0,admin.,married,unknown,no,no,no,telephone,may,wed,92.0,5,999,0,nonexistent,no,Odivelas
2261,32.0,services,single,high.school,no,yes,no,telephone,jun,fri,23.0,11,999,0,nonexistent,no,Valpaços
2262,45.0,admin.,married,university.degree,no,no,yes,cellular,nov,wed,106.0,1,999,1,failure,no,Covilhã
2263,32.0,admin.,single,unknown,no,yes,no,cellular,sep,tue,157.0,2,999,0,nonexistent,no,Lagoa
2264,51.0,entrepreneur,divorced,high.school,no,no,no,cellular,jul,fri,347.0,2,999,0,nonexistent,no,Vale de Cambra
2265,38.0,services,married,basic.6y,unknown,yes,no,telephone,may,mon,150.0,2,999,0,nonexistent,no,Águeda
2266,37.0,blue-collar,married,high.school,no,yes,no,cellular,apr,mon,196.0,2,999,1,failure,no,Póvoa de Santa Iria
2267,41.0,blue-collar,single,basic.4y,no,unknown,unknown,cellular,jul,mon,107.0,3,999,0,nonexistent,no,Lagoa
2268,52.0,retired,married,unknown,no,yes,no,cellular,aug,fri,293.0,3,999,0,nonexistent,no,Santana
2269,33.0,management,married,university.degree,unknown,yes,yes,cellular,apr,tue,258.0,8,999,0,nonexistent,no,Torres Novas
2270,48.0,blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,192.0,3,999,0,nonexistent,no,Lamego
2271,27.0,technician,single,unknown,no,yes,no,cellular,mar,thu,129.0,4,999,1,failure,no,Vila do Conde
2272,29.0,admin.,single,university.degree,no,yes,no,cellular,aug,fri,602.0,7,999,0,nonexistent,no,Vila Nova de Gaia
2273,49.0,admin.,divorced,high.school,no,yes,no,telephone,may,wed,202.0,3,999,0,nonexistent,no,Elvas
2274,41.0,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,tue,232.0,1,999,0,nonexistent,no,Paredes
2275,48.0,admin.,married,university.degree,no,yes,yes,cellular,jul,fri,232.0,2,999,0,nonexistent,no,Vila do Conde
2276,29.0,technician,married,university.degree,no,yes,no,telephone,may,wed,232.0,2,999,0,nonexistent,no,Valpaços
2277,29.0,admin.,single,university.degree,unknown,yes,no,cellular,may,fri,232.0,10,999,0,nonexistent,no,Vila Nova de Foz Côa
2278,53.0,services,married,high.school,no,no,yes,cellular,jul,wed,159.0,2,999,0,nonexistent,no,Serpa
2279,31.0,housemaid,single,high.school,no,no,yes,cellular,jul,wed,232.0,2,999,0,nonexistent,no,Queluz
2280,44.0,services,married,high.school,unknown,yes,yes,cellular,aug,fri,232.0,1,999,0,nonexistent,no,Marco de Canaveses
2281,36.0,blue-collar,single,basic.4y,no,yes,no,telephone,jun,thu,182.0,2,999,0,nonexistent,no,Entroncamento
2282,38.0,technician,married,basic.4y,unknown,yes,no,telephone,may,fri,232.0,7,999,0,nonexistent,no,Gondomar
2283,29.0,unknown,married,basic.4y,no,no,no,cellular,jul,tue,103.0,4,999,0,nonexistent,no,Ovar
2284,38.0,technician,married,professional.course,no,yes,yes,telephone,may,tue,297.0,2,999,0,nonexistent,no,Esposende
2285,38.0,admin.,divorced,high.school,no,no,no,telephone,may,thu,134.0,1,999,0,nonexistent,no,Santarém
2286,43.0,services,married,high.school,unknown,unknown,unknown,telephone,may,wed,232.0,4,999,0,nonexistent,no,Trofa
2287,52.0,retired,married,university.degree,no,no,no,cellular,nov,mon,147.0,1,999,0,nonexistent,no,Odivelas
2288,44.0,technician,divorced,professional.course,no,no,no,cellular,aug,wed,57.0,2,999,0,nonexistent,no,Lamego
2289,33.0,unknown,married,university.degree,no,yes,no,cellular,aug,wed,312.0,2,999,0,nonexistent,no,Alfena
2290,31.0,admin.,married,university.degree,no,no,no,cellular,aug,tue,336.0,6,999,0,nonexistent,no,Oliveira do Bairro
2291,54.0,unknown,married,high.school,no,no,no,telephone,jun,mon,53.0,1,999,0,nonexistent,no,Valongo
2292,51.0,unknown,married,basic.4y,no,no,no,cellular,nov,mon,189.0,1,999,0,nonexistent,no,Esmoriz
2293,47.0,services,unknown,high.school,unknown,yes,no,telephone,jun,fri,247.0,7,999,0,nonexistent,no,Agualva-Cacém
2294,54.0,retired,divorced,professional.course,no,yes,no,cellular,may,mon,232.0,8,999,0,nonexistent,no,Oliveira de Azeméis
2295,36.0,self-employed,divorced,basic.9y,no,yes,no,cellular,apr,wed,93.0,1,999,0,nonexistent,no,Tondela
2296,41.0,admin.,single,university.degree,no,no,no,cellular,nov,tue,93.0,1,999,0,nonexistent,no,Chaves
2297,40.0,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,105.0,3,999,0,nonexistent,no,Odivelas
2298,45.0,admin.,married,university.degree,no,yes,yes,cellular,may,fri,300.0,1,999,0,nonexistent,no,Vila Nova de Foz Côa
2299,27.0,unknown,single,unknown,no,no,no,cellular,mar,tue,133.0,1,999,0,nonexistent,no,Valbom
2300,34.0,admin.,married,high.school,no,yes,no,cellular,may,fri,340.0,2,999,1,failure,no,Santa Comba Dão
2301,59.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,145.0,2,999,0,nonexistent,no,Funchal
2302,44.0,admin.,married,basic.9y,unknown,yes,yes,cellular,aug,thu,232.0,10,999,0,nonexistent,no,Ovar
2303,38.0,admin.,married,university.degree,no,no,no,telephone,jun,wed,392.0,1,999,0,nonexistent,no,Ovar
2304,46.0,blue-collar,divorced,professional.course,no,yes,no,cellular,aug,wed,254.0,2,999,0,nonexistent,no,Agualva-Cacém
2305,50.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,22.0,5,999,0,nonexistent,no,Anadia
2306,38.0,admin.,married,university.degree,no,no,no,cellular,aug,mon,431.0,4,999,0,nonexistent,no,Torres Vedras
2307,54.0,entrepreneur,married,basic.9y,no,yes,yes,cellular,apr,fri,52.0,1,999,0,nonexistent,no,Pinhel
2308,59.0,technician,married,unknown,no,yes,no,telephone,may,mon,93.0,1,999,0,nonexistent,no,Câmara de Lobos
2309,48.0,entrepreneur,divorced,basic.4y,no,no,no,telephone,may,thu,75.0,1,999,0,nonexistent,no,Santana
2310,35.0,blue-collar,married,high.school,no,yes,no,telephone,jul,tue,7.0,1,999,0,nonexistent,no,Gouveia
2311,55.0,retired,married,unknown,no,no,no,telephone,may,wed,302.0,1,999,0,nonexistent,no,Funchal
2312,54.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,232.0,2,999,0,nonexistent,no,Caldas da Rainha
2313,52.0,services,married,basic.6y,no,no,no,cellular,nov,fri,101.0,1,999,0,nonexistent,no,Alfena
2314,38.0,blue-collar,married,basic.6y,unknown,yes,yes,cellular,nov,fri,213.0,2,999,0,nonexistent,no,Agualva-Cacém
2315,56.0,self-employed,married,university.degree,no,yes,no,telephone,jun,thu,232.0,15,999,0,nonexistent,no,Torres Vedras
2316,34.0,self-employed,married,university.degree,no,yes,yes,telephone,may,mon,232.0,4,999,0,nonexistent,no,Maia
2317,31.0,entrepreneur,married,university.degree,no,no,no,telephone,nov,wed,232.0,2,999,0,nonexistent,no,Freamunde
2318,38.0,unknown,single,high.school,no,yes,no,cellular,may,mon,7.0,5,999,2,failure,no,Agualva-Cacém
2319,38.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,205.0,3,999,0,nonexistent,no,Gondomar
2320,36.0,blue-collar,single,high.school,no,no,no,cellular,jul,fri,232.0,2,999,0,nonexistent,no,Rebordosa
2321,34.0,management,unknown,university.degree,no,no,yes,cellular,aug,thu,82.0,2,999,0,nonexistent,no,Almada
2322,34.0,management,married,university.degree,no,yes,no,telephone,may,tue,230.0,3,999,0,nonexistent,no,Águeda
2323,49.0,admin.,single,high.school,no,yes,no,cellular,jul,thu,24.0,13,999,0,nonexistent,no,Tondela
2324,31.0,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,218.0,3,999,0,nonexistent,no,Santana
2325,30.0,blue-collar,single,basic.4y,unknown,no,no,telephone,jun,wed,952.0,3,999,0,nonexistent,no,Câmara de Lobos
2326,42.0,blue-collar,divorced,high.school,no,no,yes,telephone,jun,thu,232.0,7,999,0,nonexistent,no,Guimarães
2327,38.0,admin.,married,unknown,no,no,no,cellular,aug,thu,25.0,11,999,0,nonexistent,no,Santana
2328,39.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,113.0,6,999,0,nonexistent,no,Valongo
2329,39.0,blue-collar,married,high.school,no,yes,no,cellular,may,wed,298.0,1,999,0,nonexistent,no,Pinhel
2330,38.0,unknown,married,unknown,no,yes,no,cellular,aug,thu,27.0,10,999,0,nonexistent,no,Santa Comba Dão
2331,31.0,unemployed,single,high.school,no,yes,no,cellular,jun,thu,232.0,3,999,0,nonexistent,no,Águeda
2332,32.0,admin.,single,high.school,no,yes,no,cellular,nov,mon,333.0,2,999,0,nonexistent,no,Vila Nova de Gaia
2333,54.0,technician,married,university.degree,no,yes,no,cellular,aug,thu,252.0,2,999,0,nonexistent,no,Vila Nova de Famalicão
2334,52.0,management,divorced,university.degree,no,no,no,cellular,nov,mon,578.0,1,999,0,nonexistent,no,Águeda
2335,38.0,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,101.0,1,999,0,nonexistent,no,Póvoa de Santa Iria
2336,49.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,364.0,1,999,0,nonexistent,no,Câmara de Lobos
2337,49.0,housemaid,married,basic.4y,no,no,no,telephone,may,tue,283.0,3,999,0,nonexistent,no,Montemor-o-Novo
2338,34.0,admin.,married,university.degree,no,no,no,cellular,may,fri,232.0,7,999,0,nonexistent,no,Agualva-Cacém
2339,33.0,management,married,university.degree,no,yes,no,cellular,may,wed,85.0,4,999,0,nonexistent,no,Freamunde
2340,28.0,admin.,single,high.school,no,yes,no,telephone,may,thu,243.0,4,999,0,nonexistent,no,Vendas Novas
2341,45.0,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,232.0,1,999,1,failure,no,Vila Franca de Xira
2342,51.0,admin.,married,high.school,unknown,no,no,telephone,may,tue,280.0,1,999,0,nonexistent,no,Lagoa
2343,44.0,technician,married,high.school,no,yes,yes,cellular,oct,mon,159.0,2,999,1,failure,no,Beja
2344,33.0,admin.,married,university.degree,no,no,no,cellular,may,fri,89.0,6,999,0,nonexistent,no,Vila Nova de Famalicão
2345,36.0,admin.,single,university.degree,no,yes,no,cellular,apr,thu,232.0,3,999,2,failure,no,Santo Tirso
2346,25.0,services,single,high.school,no,yes,no,telephone,jun,fri,232.0,14,999,0,nonexistent,no,Setúbal
2347,34.0,technician,married,professional.course,no,no,no,cellular,mar,mon,83.0,13,999,0,nonexistent,no,Serpa
2348,86.0,retired,divorced,basic.4y,no,unknown,unknown,cellular,oct,wed,130.0,1,999,0,nonexistent,no,Covilhã
2349,39.0,admin.,single,university.degree,no,no,yes,telephone,may,thu,364.0,3,999,0,nonexistent,no,Chaves
2350,38.0,technician,divorced,professional.course,no,no,yes,cellular,oct,tue,135.0,1,999,2,failure,no,Amadora
2351,38.0,blue-collar,single,high.school,no,unknown,unknown,telephone,jun,mon,311.0,2,999,0,nonexistent,no,Torres Vedras
2352,40.0,self-employed,married,basic.9y,unknown,no,no,cellular,nov,tue,53.0,1,999,1,failure,no,Barreiro
2353,45.0,services,married,high.school,unknown,yes,no,cellular,may,wed,25.0,7,999,0,nonexistent,no,Coimbra
2354,31.0,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,232.0,2,999,0,nonexistent,no,Santa Comba Dão
2355,43.0,blue-collar,married,high.school,no,yes,yes,cellular,jul,fri,132.0,5,999,0,nonexistent,no,Seixal
2356,40.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,jul,thu,181.0,1,999,0,nonexistent,no,Ponte de Sor
2357,33.0,admin.,single,university.degree,no,yes,no,cellular,aug,wed,25.0,1,999,0,nonexistent,no,Ílhavo
2358,50.0,entrepreneur,married,university.degree,no,yes,no,cellular,may,tue,191.0,3,999,0,nonexistent,no,Queluz
2359,39.0,admin.,single,high.school,no,no,no,telephone,jun,wed,172.0,2,999,0,nonexistent,no,Alfena
2360,29.0,admin.,single,unknown,no,no,no,cellular,aug,thu,15.0,9,999,0,nonexistent,no,Covilhã
2361,56.0,technician,married,high.school,no,no,no,cellular,apr,mon,119.0,2,999,0,nonexistent,no,Almada
2362,39.0,entrepreneur,married,university.degree,unknown,yes,no,cellular,apr,mon,68.0,1,999,0,nonexistent,no,Oliveira do Bairro
2363,44.0,admin.,single,unknown,no,no,no,cellular,aug,mon,208.0,1,999,0,nonexistent,no,Valongo
2364,32.0,admin.,single,university.degree,no,no,no,cellular,nov,thu,232.0,1,999,0,nonexistent,no,Miranda do Douro
2365,57.0,housemaid,married,basic.9y,unknown,yes,no,cellular,aug,mon,164.0,1,999,0,nonexistent,no,Pombal
2366,40.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,347.0,1,999,0,nonexistent,no,Viseu
2367,43.0,management,married,unknown,no,no,no,cellular,nov,tue,42.0,1,999,0,nonexistent,no,Espinho
2368,34.0,unknown,married,university.degree,no,no,no,telephone,jun,mon,703.0,1,999,0,nonexistent,no,Ílhavo
2369,38.0,blue-collar,married,high.school,no,no,no,cellular,may,mon,128.0,1,999,0,nonexistent,no,Santana
2370,54.0,technician,divorced,university.degree,no,no,no,cellular,aug,fri,90.0,1,999,1,failure,no,Fátima
2371,32.0,technician,married,professional.course,no,yes,yes,cellular,may,wed,160.0,1,999,0,nonexistent,no,Águeda
2372,30.0,blue-collar,married,basic.4y,no,no,yes,cellular,may,mon,255.0,1,999,0,nonexistent,no,Seixal
2373,38.0,unknown,married,professional.course,no,no,no,telephone,may,wed,232.0,2,999,0,nonexistent,no,Agualva-Cacém
2374,44.0,admin.,married,university.degree,unknown,yes,yes,cellular,aug,wed,376.0,2,999,0,nonexistent,no,Tondela
2375,38.0,admin.,married,university.degree,no,yes,no,cellular,aug,tue,748.0,2,999,0,nonexistent,no,Vila Nova de Famalicão
2376,38.0,admin.,single,university.degree,no,yes,no,cellular,jul,tue,214.0,1,999,0,nonexistent,no,Odivelas
2377,42.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,24.0,1,999,0,nonexistent,no,Pinhel
2378,64.0,retired,married,university.degree,no,no,no,cellular,aug,fri,102.0,1,999,1,failure,no,Portimão
2379,32.0,technician,married,university.degree,no,yes,no,telephone,jul,wed,196.0,1,999,0,nonexistent,no,Gafanha da Nazaré
2380,43.0,unknown,married,unknown,no,yes,no,telephone,jun,thu,189.0,2,999,0,nonexistent,no,Maia
2381,33.0,admin.,single,university.degree,no,yes,no,cellular,may,thu,143.0,1,999,0,nonexistent,no,Mealhada
2382,53.0,retired,married,high.school,no,no,no,telephone,apr,wed,44.0,1,999,0,nonexistent,no,Seixal
2383,35.0,blue-collar,married,unknown,unknown,yes,no,telephone,jun,thu,196.0,2,999,0,nonexistent,no,Trancoso
2384,41.0,management,married,university.degree,unknown,yes,no,telephone,may,wed,136.0,8,999,0,nonexistent,no,Agualva-Cacém
2385,35.0,services,single,basic.9y,no,yes,no,cellular,jul,thu,232.0,5,999,0,nonexistent,no,Figueira da Foz
2386,48.0,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,mon,232.0,3,999,0,nonexistent,no,Espinho
2387,54.0,admin.,married,university.degree,no,no,no,cellular,jun,wed,232.0,2,999,0,nonexistent,no,Rio Tinto
2388,34.0,technician,married,unknown,no,yes,no,telephone,may,tue,232.0,3,999,0,nonexistent,no,Barcelos
2389,35.0,technician,married,professional.course,no,yes,yes,cellular,jul,thu,54.0,3,999,0,nonexistent,no,Gondomar
2390,46.0,admin.,single,university.degree,no,yes,no,telephone,jul,fri,199.0,3,999,0,nonexistent,no,Vila Franca de Xira
2391,56.0,unknown,married,university.degree,no,yes,yes,cellular,jul,fri,232.0,2,999,0,nonexistent,no,Albufeira
2392,35.0,services,divorced,professional.course,unknown,no,no,telephone,may,wed,232.0,2,999,0,nonexistent,no,Porto
2393,50.0,services,unknown,high.school,no,yes,no,cellular,jul,wed,99.0,2,999,0,nonexistent,no,Fátima
2394,33.0,technician,married,professional.course,no,yes,no,telephone,may,tue,232.0,2,999,0,nonexistent,no,Rio Tinto
2395,46.0,admin.,married,high.school,no,no,no,cellular,nov,mon,504.0,1,999,1,failure,no,Gondomar
2396,37.0,services,single,high.school,no,yes,no,cellular,jun,mon,232.0,3,999,0,nonexistent,no,Vila Nova de Famalicão
2397,40.0,blue-collar,married,basic.4y,no,no,no,cellular,may,fri,77.0,1,999,0,nonexistent,no,Queluz
2398,41.0,services,divorced,unknown,no,yes,no,telephone,jun,thu,163.0,1,999,0,nonexistent,no,Rio Tinto
2399,28.0,management,married,high.school,unknown,no,no,telephone,may,tue,232.0,1,999,0,nonexistent,no,Lagoa
2400,39.0,technician,married,professional.course,no,no,no,cellular,apr,thu,225.0,2,999,0,nonexistent,no,Quarteira
2401,48.0,admin.,married,high.school,no,yes,no,telephone,nov,tue,217.0,1,999,0,nonexistent,no,Câmara de Lobos
2402,32.0,admin.,married,university.degree,no,yes,no,cellular,jun,thu,216.0,2,999,0,nonexistent,no,Ílhavo
2403,63.0,unknown,married,basic.4y,no,no,no,cellular,aug,thu,87.0,4,999,0,nonexistent,no,Mealhada
2404,32.0,services,married,unknown,no,no,yes,telephone,may,fri,270.0,1,999,0,nonexistent,no,Tarouca
2405,38.0,admin.,single,high.school,no,yes,no,telephone,jun,tue,384.0,1,999,0,nonexistent,no,Machico
2406,45.0,unknown,married,unknown,unknown,no,no,telephone,jun,wed,113.0,1,999,0,nonexistent,no,Évora
2407,36.0,blue-collar,single,unknown,no,no,no,cellular,aug,wed,211.0,2,999,0,nonexistent,no,Portalegre
2408,53.0,entrepreneur,single,basic.9y,no,no,no,telephone,may,tue,144.0,7,999,0,nonexistent,no,Viseu
2409,59.0,retired,married,basic.4y,unknown,yes,yes,telephone,may,wed,571.0,1,999,0,nonexistent,no,Marinha Grande
2410,38.0,technician,single,professional.course,no,yes,no,telephone,may,tue,232.0,2,999,0,nonexistent,no,Seixal
2411,34.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,232.0,2,999,0,nonexistent,no,Oliveira do Hospital
2412,38.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,75.0,1,999,0,nonexistent,no,Mêda
2413,60.0,retired,divorced,basic.4y,unknown,yes,no,telephone,jun,thu,45.0,2,999,0,nonexistent,no,Maia
2414,54.0,management,divorced,university.degree,no,no,no,telephone,may,wed,10.0,1,999,0,nonexistent,no,Oliveira do Bairro
2415,35.0,management,married,university.degree,no,no,no,cellular,aug,tue,471.0,2,999,0,nonexistent,no,Tondela
2416,34.0,admin.,married,professional.course,no,yes,yes,cellular,may,mon,232.0,1,999,0,nonexistent,no,Porto
2417,33.0,admin.,married,high.school,no,no,no,cellular,may,wed,105.0,4,999,1,failure,no,Évora
2418,49.0,technician,married,high.school,no,yes,no,telephone,may,thu,435.0,1,999,0,nonexistent,no,Covilhã
2419,29.0,unknown,single,basic.9y,no,no,no,telephone,jul,tue,280.0,5,999,0,nonexistent,no,Valongo
2420,42.0,blue-collar,married,basic.4y,no,yes,no,cellular,may,tue,442.0,2,999,0,nonexistent,no,Agualva-Cacém
2421,35.0,services,married,high.school,no,no,no,telephone,may,tue,159.0,2,999,0,nonexistent,no,Albufeira
2422,33.0,services,single,basic.6y,unknown,no,no,telephone,may,thu,89.0,7,999,0,nonexistent,no,Praia da Vitória
2423,26.0,admin.,single,high.school,no,yes,yes,cellular,jul,wed,668.0,1,999,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
2424,47.0,technician,married,professional.course,no,no,no,telephone,may,mon,202.0,1,999,0,nonexistent,no,Gafanha da Nazaré
2425,47.0,self-employed,married,university.degree,no,unknown,unknown,cellular,aug,tue,95.0,4,999,0,nonexistent,no,Évora
2426,28.0,admin.,unknown,high.school,no,no,no,telephone,may,tue,110.0,2,999,0,nonexistent,no,Torres Novas
2427,26.0,admin.,single,basic.4y,no,yes,yes,telephone,jun,tue,232.0,6,999,0,nonexistent,no,Loures
2428,48.0,admin.,married,high.school,no,yes,no,cellular,apr,fri,190.0,1,999,0,nonexistent,no,Esmoriz
2429,35.0,blue-collar,married,professional.course,no,no,no,telephone,may,wed,232.0,5,999,0,nonexistent,no,Lamego
2430,34.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,tue,227.0,2,999,0,nonexistent,no,Agualva-Cacém
2431,38.0,management,married,university.degree,no,yes,yes,cellular,nov,tue,353.0,1,999,0,nonexistent,no,Mirandela
2432,32.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,926.0,1,999,0,nonexistent,no,Funchal
2433,39.0,admin.,married,university.degree,no,yes,no,cellular,may,fri,175.0,1,999,0,nonexistent,no,Agualva-Cacém
2434,55.0,services,divorced,high.school,unknown,no,no,cellular,jul,tue,204.0,3,999,0,nonexistent,no,Almada
2435,38.0,entrepreneur,married,basic.9y,no,yes,yes,cellular,may,fri,476.0,3,999,0,nonexistent,no,Lagoa
2436,39.0,services,unknown,high.school,no,yes,no,telephone,may,thu,209.0,3,999,0,nonexistent,no,Almeirim
2437,26.0,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,fri,268.0,1,999,0,nonexistent,no,Figueira da Foz
2438,31.0,blue-collar,single,high.school,no,yes,no,cellular,jul,thu,107.0,3,999,0,nonexistent,no,Póvoa de Varzim
2439,32.0,admin.,single,university.degree,no,no,no,cellular,aug,thu,211.0,4,999,0,nonexistent,no,Mealhada
2440,52.0,services,married,high.school,no,no,no,telephone,may,wed,91.0,3,999,0,nonexistent,no,Aveiro
2441,38.0,technician,married,high.school,no,yes,no,cellular,jul,wed,475.0,3,3,1,success,no,Santa Comba Dão
2442,33.0,entrepreneur,married,university.degree,no,yes,yes,cellular,jul,mon,285.0,2,999,0,nonexistent,no,Oliveira do Bairro
2443,48.0,blue-collar,married,basic.4y,no,no,no,cellular,may,wed,232.0,2,999,1,failure,no,Almada
